capturador,forma,racimo,video,ruta_relativa
javo,freestyle,100,VID_20230321_130614.mp4,javo/freestyle/100/VID_20230321_130614/VID_20230321_130614.mp4
javo,freestyle,100,VID_20230321_130623.mp4,javo/freestyle/100/VID_20230321_130623/VID_20230321_130623.mp4
javo,freestyle,100,VID_20230321_130631.mp4,javo/freestyle/100/VID_20230321_130631/VID_20230321_130631.mp4
javo,freestyle,100,VID_20230321_130639.mp4,javo/freestyle/100/VID_20230321_130639/VID_20230321_130639.mp4
pablo,180,98,VID_20230321_134334.mp4,pablo/180/98/VID_20230321_134334/VID_20230321_134334.mp4
pablo,180,98,VID_20230321_134443.mp4,pablo/180/98/VID_20230321_134443/VID_20230321_134443.mp4
javo,180,97,VID_20230321_134447.mp4,javo/180/97/VID_20230321_134447/VID_20230321_134447.mp4
pablo,180,98,VID_20230321_134456.mp4,pablo/180/98/VID_20230321_134456/VID_20230321_134456.mp4
pablo,180,98,VID_20230321_134510.mp4,pablo/180/98/VID_20230321_134510/VID_20230321_134510.mp4
javo,180,97,VID_20230321_134513.mp4,javo/180/97/VID_20230321_134513/VID_20230321_134513.mp4
pablo,180,98,VID_20230321_134523.mp4,pablo/180/98/VID_20230321_134523/VID_20230321_134523.mp4
javo,180,97,VID_20230321_134525.mp4,javo/180/97/VID_20230321_134525/VID_20230321_134525.mp4
javo,180,97,VID_20230321_134608.mp4,javo/180/97/VID_20230321_134608/VID_20230321_134608.mp4
javo,180,97,VID_20230321_134618.mp4,javo/180/97/VID_20230321_134618/VID_20230321_134618.mp4
pablo,vertical,98,VID_20230321_134706.mp4,pablo/vertical/98/VID_20230321_134706/VID_20230321_134706.mp4
pablo,vertical,98,VID_20230321_134718.mp4,pablo/vertical/98/VID_20230321_134718/VID_20230321_134718.mp4
pablo,vertical,98,VID_20230321_134734.mp4,pablo/vertical/98/VID_20230321_134734/VID_20230321_134734.mp4
javo,vertical,97,VID_20230321_134738.mp4,javo/vertical/97/VID_20230321_134738/VID_20230321_134738.mp4
pablo,vertical,98,VID_20230321_134744.mp4,pablo/vertical/98/VID_20230321_134744/VID_20230321_134744.mp4
javo,vertical,97,VID_20230321_134747.mp4,javo/vertical/97/VID_20230321_134747/VID_20230321_134747.mp4
javo,vertical,97,VID_20230321_134756.mp4,javo/vertical/97/VID_20230321_134756/VID_20230321_134756.mp4
pablo,vertical,98,VID_20230321_134757.mp4,pablo/vertical/98/VID_20230321_134757/VID_20230321_134757.mp4
javo,vertical,97,VID_20230321_134805.mp4,javo/vertical/97/VID_20230321_134805/VID_20230321_134805.mp4
javo,vertical,97,VID_20230321_134819.mp4,javo/vertical/97/VID_20230321_134819/VID_20230321_134819.mp4
pablo,freestyle,98,VID_20230321_134837.mp4,pablo/freestyle/98/VID_20230321_134837/VID_20230321_134837.mp4
pablo,freestyle,98,VID_20230321_134845.mp4,pablo/freestyle/98/VID_20230321_134845/VID_20230321_134845.mp4
javo,freestyle,97,VID_20230321_134852.mp4,javo/freestyle/97/VID_20230321_134852/VID_20230321_134852.mp4
pablo,freestyle,98,VID_20230321_134854.mp4,pablo/freestyle/98/VID_20230321_134854/VID_20230321_134854.mp4
javo,freestyle,97,VID_20230321_134900.mp4,javo/freestyle/97/VID_20230321_134900/VID_20230321_134900.mp4
pablo,freestyle,98,VID_20230321_134902.mp4,pablo/freestyle/98/VID_20230321_134902/VID_20230321_134902.mp4
javo,freestyle,97,VID_20230321_134908.mp4,javo/freestyle/97/VID_20230321_134908/VID_20230321_134908.mp4
javo,freestyle,97,VID_20230321_134914.mp4,javo/freestyle/97/VID_20230321_134914/VID_20230321_134914.mp4
pablo,freestyle,98,VID_20230321_134926.mp4,pablo/freestyle/98/VID_20230321_134926/VID_20230321_134926.mp4
javo,freestyle,97,VID_20230321_134928.mp4,javo/freestyle/97/VID_20230321_134928/VID_20230321_134928.mp4
pablo,180,97,VID_20230321_135012.mp4,pablo/180/97/VID_20230321_135012/VID_20230321_135012.mp4
pablo,180,97,VID_20230321_135024.mp4,pablo/180/97/VID_20230321_135024/VID_20230321_135024.mp4
pablo,180,97,VID_20230321_135046.mp4,pablo/180/97/VID_20230321_135046/VID_20230321_135046.mp4
pablo,180,97,VID_20230321_135059.mp4,pablo/180/97/VID_20230321_135059/VID_20230321_135059.mp4
pablo,vertical,97,VID_20230321_135142.mp4,pablo/vertical/97/VID_20230321_135142/VID_20230321_135142.mp4
javo,180,98,VID_20230321_135144.mp4,javo/180/98/VID_20230321_135144/VID_20230321_135144.mp4
pablo,vertical,97,VID_20230321_135152.mp4,pablo/vertical/97/VID_20230321_135152/VID_20230321_135152.mp4
javo,180,98,VID_20230321_135154.mp4,javo/180/98/VID_20230321_135154/VID_20230321_135154.mp4
pablo,vertical,97,VID_20230321_135201.mp4,pablo/vertical/97/VID_20230321_135201/VID_20230321_135201.mp4
javo,180,98,VID_20230321_135204.mp4,javo/180/98/VID_20230321_135204/VID_20230321_135204.mp4
pablo,vertical,97,VID_20230321_135210.mp4,pablo/vertical/97/VID_20230321_135210/VID_20230321_135210.mp4
javo,180,98,VID_20230321_135214.mp4,javo/180/98/VID_20230321_135214/VID_20230321_135214.mp4
pablo,vertical,97,VID_20230321_135219.mp4,pablo/vertical/97/VID_20230321_135219/VID_20230321_135219.mp4
javo,180,98,VID_20230321_135234.mp4,javo/180/98/VID_20230321_135234/VID_20230321_135234.mp4
javo,vertical,98,VID_20230321_135321.mp4,javo/vertical/98/VID_20230321_135321/VID_20230321_135321.mp4
javo,vertical,98,VID_20230321_135332.mp4,javo/vertical/98/VID_20230321_135332/VID_20230321_135332.mp4
pablo,freestyle,97,VID_20230321_135342.mp4,pablo/freestyle/97/VID_20230321_135342/VID_20230321_135342.mp4
javo,vertical,98,VID_20230321_135343.mp4,javo/vertical/98/VID_20230321_135343/VID_20230321_135343.mp4
pablo,freestyle,97,VID_20230321_135350.mp4,pablo/freestyle/97/VID_20230321_135350/VID_20230321_135350.mp4
javo,vertical,98,VID_20230321_135353.mp4,javo/vertical/98/VID_20230321_135353/VID_20230321_135353.mp4
javo,vertical,98,VID_20230321_135409.mp4,javo/vertical/98/VID_20230321_135409/VID_20230321_135409.mp4
pablo,freestyle,97,VID_20230321_135419.mp4,pablo/freestyle/97/VID_20230321_135419/VID_20230321_135419.mp4
pablo,freestyle,97,VID_20230321_135430.mp4,pablo/freestyle/97/VID_20230321_135430/VID_20230321_135430.mp4
pablo,freestyle,97,VID_20230321_135445.mp4,pablo/freestyle/97/VID_20230321_135445/VID_20230321_135445.mp4
javo,freestyle,98,VID_20230321_135504.mp4,javo/freestyle/98/VID_20230321_135504/VID_20230321_135504.mp4
javo,freestyle,98,VID_20230321_135513.mp4,javo/freestyle/98/VID_20230321_135513/VID_20230321_135513.mp4
javo,freestyle,98,VID_20230321_135521.mp4,javo/freestyle/98/VID_20230321_135521/VID_20230321_135521.mp4
javo,freestyle,98,VID_20230321_135529.mp4,javo/freestyle/98/VID_20230321_135529/VID_20230321_135529.mp4
javo,freestyle,98,VID_20230321_135551.mp4,javo/freestyle/98/VID_20230321_135551/VID_20230321_135551.mp4
pablo,180,96,VID_20230321_135622.mp4,pablo/180/96/VID_20230321_135622/VID_20230321_135622.mp4
pablo,180,96,VID_20230321_135633.mp4,pablo/180/96/VID_20230321_135633/VID_20230321_135633.mp4
pablo,180,96,VID_20230321_135645.mp4,pablo/180/96/VID_20230321_135645/VID_20230321_135645.mp4
pablo,180,96,VID_20230321_135659.mp4,pablo/180/96/VID_20230321_135659/VID_20230321_135659.mp4
javo,180,95,VID_20230321_135714.mp4,javo/180/95/VID_20230321_135714/VID_20230321_135714.mp4
pablo,180,96,VID_20230321_135716.mp4,pablo/180/96/VID_20230321_135716/VID_20230321_135716.mp4
javo,180,95,VID_20230321_135725.mp4,javo/180/95/VID_20230321_135725/VID_20230321_135725.mp4
javo,180,95,VID_20230321_135736.mp4,javo/180/95/VID_20230321_135736/VID_20230321_135736.mp4
pablo,vertical,96,VID_20230321_135740.mp4,pablo/vertical/96/VID_20230321_135740/VID_20230321_135740.mp4
javo,180,95,VID_20230321_135745.mp4,javo/180/95/VID_20230321_135745/VID_20230321_135745.mp4
pablo,vertical,96,VID_20230321_135751.mp4,pablo/vertical/96/VID_20230321_135751/VID_20230321_135751.mp4
javo,180,95,VID_20230321_135754.mp4,javo/180/95/VID_20230321_135754/VID_20230321_135754.mp4
pablo,vertical,96,VID_20230321_135802.mp4,pablo/vertical/96/VID_20230321_135802/VID_20230321_135802.mp4
pablo,vertical,96,VID_20230321_135819.mp4,pablo/vertical/96/VID_20230321_135819/VID_20230321_135819.mp4
javo,vertical,95,VID_20230321_135819.mp4,javo/vertical/95/VID_20230321_135819/VID_20230321_135819.mp4
javo,vertical,95,VID_20230321_135828.mp4,javo/vertical/95/VID_20230321_135828/VID_20230321_135828.mp4
pablo,vertical,96,VID_20230321_135831.mp4,pablo/vertical/96/VID_20230321_135831/VID_20230321_135831.mp4
javo,vertical,95,VID_20230321_135837.mp4,javo/vertical/95/VID_20230321_135837/VID_20230321_135837.mp4
javo,vertical,95,VID_20230321_135846.mp4,javo/vertical/95/VID_20230321_135846/VID_20230321_135846.mp4
javo,vertical,95,VID_20230321_135854.mp4,javo/vertical/95/VID_20230321_135854/VID_20230321_135854.mp4
pablo,freestyle,96,VID_20230321_135904.mp4,pablo/freestyle/96/VID_20230321_135904/VID_20230321_135904.mp4
pablo,freestyle,96,VID_20230321_135912.mp4,pablo/freestyle/96/VID_20230321_135912/VID_20230321_135912.mp4
javo,freestyle,95,VID_20230321_135917.mp4,javo/freestyle/95/VID_20230321_135917/VID_20230321_135917.mp4
pablo,freestyle,96,VID_20230321_135921.mp4,pablo/freestyle/96/VID_20230321_135921/VID_20230321_135921.mp4
javo,freestyle,95,VID_20230321_135925.mp4,javo/freestyle/95/VID_20230321_135925/VID_20230321_135925.mp4
pablo,freestyle,96,VID_20230321_135929.mp4,pablo/freestyle/96/VID_20230321_135929/VID_20230321_135929.mp4
javo,freestyle,95,VID_20230321_135932.mp4,javo/freestyle/95/VID_20230321_135932/VID_20230321_135932.mp4
pablo,freestyle,96,VID_20230321_135938.mp4,pablo/freestyle/96/VID_20230321_135938/VID_20230321_135938.mp4
javo,freestyle,95,VID_20230321_135940.mp4,javo/freestyle/95/VID_20230321_135940/VID_20230321_135940.mp4
javo,freestyle,95,VID_20230321_135953.mp4,javo/freestyle/95/VID_20230321_135953/VID_20230321_135953.mp4
javo,180,96,VID_20230321_140025.mp4,javo/180/96/VID_20230321_140025/VID_20230321_140025.mp4
javo,180,96,VID_20230321_140034.mp4,javo/180/96/VID_20230321_140034/VID_20230321_140034.mp4
javo,180,96,VID_20230321_140043.mp4,javo/180/96/VID_20230321_140043/VID_20230321_140043.mp4
javo,180,96,VID_20230321_140052.mp4,javo/180/96/VID_20230321_140052/VID_20230321_140052.mp4
javo,180,96,VID_20230321_140101.mp4,javo/180/96/VID_20230321_140101/VID_20230321_140101.mp4
javo,vertical,96,VID_20230321_140126.mp4,javo/vertical/96/VID_20230321_140126/VID_20230321_140126.mp4
javo,vertical,96,VID_20230321_140135.mp4,javo/vertical/96/VID_20230321_140135/VID_20230321_140135.mp4
javo,vertical,96,VID_20230321_140144.mp4,javo/vertical/96/VID_20230321_140144/VID_20230321_140144.mp4
javo,vertical,96,VID_20230321_140154.mp4,javo/vertical/96/VID_20230321_140154/VID_20230321_140154.mp4
pablo,180,95,VID_20230321_140155.mp4,pablo/180/95/VID_20230321_140155/VID_20230321_140155.mp4
javo,vertical,96,VID_20230321_140203.mp4,javo/vertical/96/VID_20230321_140203/VID_20230321_140203.mp4
pablo,180,95,VID_20230321_140206.mp4,pablo/180/95/VID_20230321_140206/VID_20230321_140206.mp4
pablo,180,95,VID_20230321_140220.mp4,pablo/180/95/VID_20230321_140220/VID_20230321_140220.mp4
javo,freestyle,96,VID_20230321_140234.mp4,javo/freestyle/96/VID_20230321_140234/VID_20230321_140234.mp4
javo,freestyle,96,VID_20230321_140242.mp4,javo/freestyle/96/VID_20230321_140242/VID_20230321_140242.mp4
javo,freestyle,96,VID_20230321_140251.mp4,javo/freestyle/96/VID_20230321_140251/VID_20230321_140251.mp4
javo,freestyle,96,VID_20230321_140319.mp4,javo/freestyle/96/VID_20230321_140319/VID_20230321_140319.mp4
javo,freestyle,96,VID_20230321_140333.mp4,javo/freestyle/96/VID_20230321_140333/VID_20230321_140333.mp4
pablo,180,95,VID_20230321_140355.mp4,pablo/180/95/VID_20230321_140355/VID_20230321_140355.mp4
pablo,180,95,VID_20230321_140407.mp4,pablo/180/95/VID_20230321_140407/VID_20230321_140407.mp4
pablo,vertical,95,VID_20230321_140435.mp4,pablo/vertical/95/VID_20230321_140435/VID_20230321_140435.mp4
pablo,vertical,95,VID_20230321_140511.mp4,pablo/vertical/95/VID_20230321_140511/VID_20230321_140511.mp4
javo,180,94,VID_20230321_140517.mp4,javo/180/94/VID_20230321_140517/VID_20230321_140517.mp4
pablo,vertical,95,VID_20230321_140522.mp4,pablo/vertical/95/VID_20230321_140522/VID_20230321_140522.mp4
javo,180,94,VID_20230321_140527.mp4,javo/180/94/VID_20230321_140527/VID_20230321_140527.mp4
pablo,vertical,95,VID_20230321_140531.mp4,pablo/vertical/95/VID_20230321_140531/VID_20230321_140531.mp4
javo,180,94,VID_20230321_140536.mp4,javo/180/94/VID_20230321_140536/VID_20230321_140536.mp4
javo,180,94,VID_20230321_140545.mp4,javo/180/94/VID_20230321_140545/VID_20230321_140545.mp4
pablo,vertical,95,VID_20230321_140546.mp4,pablo/vertical/95/VID_20230321_140546/VID_20230321_140546.mp4
javo,180,94,VID_20230321_140555.mp4,javo/180/94/VID_20230321_140555/VID_20230321_140555.mp4
pablo,freestyle,95,VID_20230321_140606.mp4,pablo/freestyle/95/VID_20230321_140606/VID_20230321_140606.mp4
pablo,freestyle,95,VID_20230321_140614.mp4,pablo/freestyle/95/VID_20230321_140614/VID_20230321_140614.mp4
pablo,freestyle,95,VID_20230321_140622.mp4,pablo/freestyle/95/VID_20230321_140622/VID_20230321_140622.mp4
javo,vertical,94,VID_20230321_140630.mp4,javo/vertical/94/VID_20230321_140630/VID_20230321_140630.mp4
pablo,freestyle,95,VID_20230321_140635.mp4,pablo/freestyle/95/VID_20230321_140635/VID_20230321_140635.mp4
javo,vertical,94,VID_20230321_140639.mp4,javo/vertical/94/VID_20230321_140639/VID_20230321_140639.mp4
javo,vertical,94,VID_20230321_140648.mp4,javo/vertical/94/VID_20230321_140648/VID_20230321_140648.mp4
pablo,freestyle,95,VID_20230321_140655.mp4,pablo/freestyle/95/VID_20230321_140655/VID_20230321_140655.mp4
javo,vertical,94,VID_20230321_140657.mp4,javo/vertical/94/VID_20230321_140657/VID_20230321_140657.mp4
javo,vertical,94,VID_20230321_140705.mp4,javo/vertical/94/VID_20230321_140705/VID_20230321_140705.mp4
javo,freestyle,94,VID_20230321_140823.mp4,javo/freestyle/94/VID_20230321_140823/VID_20230321_140823.mp4
javo,freestyle,94,VID_20230321_140831.mp4,javo/freestyle/94/VID_20230321_140831/VID_20230321_140831.mp4
javo,freestyle,94,VID_20230321_140838.mp4,javo/freestyle/94/VID_20230321_140838/VID_20230321_140838.mp4
javo,freestyle,94,VID_20230321_140847.mp4,javo/freestyle/94/VID_20230321_140847/VID_20230321_140847.mp4
javo,freestyle,94,VID_20230321_140901.mp4,javo/freestyle/94/VID_20230321_140901/VID_20230321_140901.mp4
pablo,180,93,VID_20230321_140910.mp4,pablo/180/93/VID_20230321_140910/VID_20230321_140910.mp4
pablo,180,93,VID_20230321_140934.mp4,pablo/180/93/VID_20230321_140934/VID_20230321_140934.mp4
pablo,180,93,VID_20230321_140946.mp4,pablo/180/93/VID_20230321_140946/VID_20230321_140946.mp4
pablo,180,93,VID_20230321_140957.mp4,pablo/180/93/VID_20230321_140957/VID_20230321_140957.mp4
pablo,180,93,VID_20230321_141016.mp4,pablo/180/93/VID_20230321_141016/VID_20230321_141016.mp4
pablo,180,93,VID_20230321_141055.mp4,pablo/180/93/VID_20230321_141055/VID_20230321_141055.mp4
pablo,vertical,93,VID_20230321_141115.mp4,pablo/vertical/93/VID_20230321_141115/VID_20230321_141115.mp4
pablo,vertical,93,VID_20230321_141125.mp4,pablo/vertical/93/VID_20230321_141125/VID_20230321_141125.mp4
pablo,vertical,93,VID_20230321_141135.mp4,pablo/vertical/93/VID_20230321_141135/VID_20230321_141135.mp4
pablo,vertical,93,VID_20230321_141144.mp4,pablo/vertical/93/VID_20230321_141144/VID_20230321_141144.mp4
pablo,vertical,93,VID_20230321_141153.mp4,pablo/vertical/93/VID_20230321_141153/VID_20230321_141153.mp4
pablo,freestyle,93,VID_20230321_141220.mp4,pablo/freestyle/93/VID_20230321_141220/VID_20230321_141220.mp4
pablo,freestyle,93,VID_20230321_141227.mp4,pablo/freestyle/93/VID_20230321_141227/VID_20230321_141227.mp4
pablo,freestyle,93,VID_20230321_141234.mp4,pablo/freestyle/93/VID_20230321_141234/VID_20230321_141234.mp4
pablo,freestyle,93,VID_20230321_141242.mp4,pablo/freestyle/93/VID_20230321_141242/VID_20230321_141242.mp4
pablo,freestyle,93,VID_20230321_141250.mp4,pablo/freestyle/93/VID_20230321_141250/VID_20230321_141250.mp4
pablo,180,94,VID_20230321_141347.mp4,pablo/180/94/VID_20230321_141347/VID_20230321_141347.mp4
pablo,180,94,VID_20230321_141359.mp4,pablo/180/94/VID_20230321_141359/VID_20230321_141359.mp4
javo,180,93,VID_20230321_141408.mp4,javo/180/93/VID_20230321_141408/VID_20230321_141408.mp4
pablo,180,94,VID_20230321_141412.mp4,pablo/180/94/VID_20230321_141412/VID_20230321_141412.mp4
javo,180,93,VID_20230321_141417.mp4,javo/180/93/VID_20230321_141417/VID_20230321_141417.mp4
pablo,180,94,VID_20230321_141426.mp4,pablo/180/94/VID_20230321_141426/VID_20230321_141426.mp4
javo,180,93,VID_20230321_141427.mp4,javo/180/93/VID_20230321_141427/VID_20230321_141427.mp4
javo,180,93,VID_20230321_141438.mp4,javo/180/93/VID_20230321_141438/VID_20230321_141438.mp4
pablo,180,94,VID_20230321_141445.mp4,pablo/180/94/VID_20230321_141445/VID_20230321_141445.mp4
javo,180,93,VID_20230321_141448.mp4,javo/180/93/VID_20230321_141448/VID_20230321_141448.mp4
pablo,vertical,94,VID_20230321_141508.mp4,pablo/vertical/94/VID_20230321_141508/VID_20230321_141508.mp4
javo,vertical,93,VID_20230321_141513.mp4,javo/vertical/93/VID_20230321_141513/VID_20230321_141513.mp4
javo,vertical,93,VID_20230321_141522.mp4,javo/vertical/93/VID_20230321_141522/VID_20230321_141522.mp4
javo,vertical,93,VID_20230321_141531.mp4,javo/vertical/93/VID_20230321_141531/VID_20230321_141531.mp4
javo,vertical,93,VID_20230321_141540.mp4,javo/vertical/93/VID_20230321_141540/VID_20230321_141540.mp4
pablo,vertical,94,VID_20230321_141544.mp4,pablo/vertical/94/VID_20230321_141544/VID_20230321_141544.mp4
javo,vertical,93,VID_20230321_141555.mp4,javo/vertical/93/VID_20230321_141555/VID_20230321_141555.mp4
pablo,vertical,94,VID_20230321_141610.mp4,pablo/vertical/94/VID_20230321_141610/VID_20230321_141610.mp4
pablo,vertical,94,VID_20230321_141620.mp4,pablo/vertical/94/VID_20230321_141620/VID_20230321_141620.mp4
pablo,vertical,94,VID_20230321_141636.mp4,pablo/vertical/94/VID_20230321_141636/VID_20230321_141636.mp4
javo,freestyle,93,VID_20230321_141642.mp4,javo/freestyle/93/VID_20230321_141642/VID_20230321_141642.mp4
javo,freestyle,93,VID_20230321_141649.mp4,javo/freestyle/93/VID_20230321_141649/VID_20230321_141649.mp4
javo,freestyle,93,VID_20230321_141657.mp4,javo/freestyle/93/VID_20230321_141657/VID_20230321_141657.mp4
javo,freestyle,93,VID_20230321_141703.mp4,javo/freestyle/93/VID_20230321_141703/VID_20230321_141703.mp4
pablo,freestyle,94,VID_20230321_141707.mp4,pablo/freestyle/94/VID_20230321_141707/VID_20230321_141707.mp4
pablo,freestyle,94,VID_20230321_141716.mp4,pablo/freestyle/94/VID_20230321_141716/VID_20230321_141716.mp4
javo,freestyle,93,VID_20230321_141717.mp4,javo/freestyle/93/VID_20230321_141717/VID_20230321_141717.mp4
pablo,freestyle,94,VID_20230321_141725.mp4,pablo/freestyle/94/VID_20230321_141725/VID_20230321_141725.mp4
pablo,freestyle,94,VID_20230321_141732.mp4,pablo/freestyle/94/VID_20230321_141732/VID_20230321_141732.mp4
pablo,freestyle,94,VID_20230321_141739.mp4,pablo/freestyle/94/VID_20230321_141739/VID_20230321_141739.mp4
javo,180,92,VID_20230321_141842.mp4,javo/180/92/VID_20230321_141842/VID_20230321_141842.mp4
javo,180,92,VID_20230321_141852.mp4,javo/180/92/VID_20230321_141852/VID_20230321_141852.mp4
javo,180,92,VID_20230321_141903.mp4,javo/180/92/VID_20230321_141903/VID_20230321_141903.mp4
javo,180,92,VID_20230321_141914.mp4,javo/180/92/VID_20230321_141914/VID_20230321_141914.mp4
pablo,180,91,VID_20230321_141922.mp4,pablo/180/91/VID_20230321_141922/VID_20230321_141922.mp4
pablo,180,91,VID_20230321_141936.mp4,pablo/180/91/VID_20230321_141936/VID_20230321_141936.mp4
javo,180,92,VID_20230321_141941.mp4,javo/180/92/VID_20230321_141941/VID_20230321_141941.mp4
pablo,180,91,VID_20230321_142014.mp4,pablo/180/91/VID_20230321_142014/VID_20230321_142014.mp4
pablo,180,91,VID_20230321_142026.mp4,pablo/180/91/VID_20230321_142026/VID_20230321_142026.mp4
pablo,180,91,VID_20230321_142038.mp4,pablo/180/91/VID_20230321_142038/VID_20230321_142038.mp4
pablo,vertical,91,VID_20230321_142105.mp4,pablo/vertical/91/VID_20230321_142105/VID_20230321_142105.mp4
